5A8	Aleknagik / New Airport
SVMP	Metropolitano Airport
SVMT	MaturÃ­n Airport
SVPA	Cacique Aramare Airport
SVPC	General Bartolome Salom International Airport
SVPM	Paramillo Airport
SVPR	General Manuel Carlos Piar International Airport
SVPT	Palmarito Airport
SVSA	San Antonio Del Tachira Airport
SVSE	Santa Elena de Uairen Airport
SVSO	Mayor Buenaventura Vivas International Airport
SVSP	Sub Teniente Nestor Arias Airport
SVSR	San Fernando De Apure Airport
SVST	San TomÃ© Airport
SVSZ	Santa BÃ¡rbara del Zulia Airport
SVTC	Tucupita Airport
SVTM	Tumeremo Airport
SVVA	Arturo Michelena International Airport
SVVG	Juan Pablo PÃ©rez Alfonso Airport
SVVL	Dr. Antonio NicolÃ¡s BriceÃ±o Airport
SVVP	Valle de La Pascua Airport
SWGN	AraguaÃ­na Airport
SYCJ	Cheddi Jagan International Airport
SYGO	Eugene F. Correira International Airport
SYLT	Lethem Airport
TAPA	V.C. Bird International Airport
TBPB	Sir Grantley Adams International Airport
TDCF	Canefield Airport
TDPD	Douglas-Charles Airport
TFFF	Martinique AimÃ© CÃ©saire International Airport
TFFG	L'EspÃ©rance Airport
TFFJ	Gustaf III Airport
TFFM	Les Bases Airport
TFFR	Pointe-Ã -Pitre Le Raizet
TGPY	Point Salines International Airport
TIST	Cyril E. King Airport
TISX	Henry E Rohlsen Airport
TJ-UT45	Gissar Air Base
TJ-UT46	Farkhor Air Base
TJAB	Antonio Nery Juarbe Pol Airport
TJBQ	Rafael Hernandez Airport
TJFA	Diego Jimenez Torres Airport
TJIG	Fernando Luis Ribas Dominicci Airport
TJMZ	Eugenio Maria De Hostos Airport
TJPS	Mercedita Airport
TJSJ	Luis Munoz Marin International Airport
TKPK	Robert L. Bradshaw International Airport
TKPN	Vance W. Amory International Airport
TLPC	George F. L. Charles Airport
TLPL	Hewanorra International Airport
TM-UT52	Mary North Airport
TN-0002	Enfidha - Hammamet International Airport
TNCA	Queen Beatrix International Airport
TNCB	Flamingo International Airport
TNCC	Hato International Airport
TNCE	F. D. Roosevelt Airport
TNCM	Princess Juliana International Airport
TNW	Jumandy Airport
TQPF	Clayton J Lloyd International Airport
TR-0004	Temelli Air Base
TR-0021	Ã‡ukurhisar Airport
TR-0026	IÄŸdÄ±r Airport
TR-0028	KeÅŸan Airport
TR-0043	Istanbul Airport
TR-0044	Ã‡ukurova Airport
TRPG	John A. Osborne Airport
TTCP	Tobago-Crown Point Airport
TTPP	Piarco International Airport
TUPJ	Terrance B. Lettsome International Airport
TVSA	Argyle International Airport
TVSB	J F Mitchell Airport
TVSC	Canouan Airport
TVSM	Mustique Airport
TVSU	Union Island International Airport
TW-0004	Zuoying Naval Airfield
TXKF	L.F. Wade International International Airport
UA-0005	Nizhyn Air Base
UA-0010	Oktyabrskoe Air Base
UA-0012	Kirovskoe Air Base
UA-0020	Melitopol Air Base
UA-0022	Kacha Air Base
UA-0025	Bila Tserkva Airfield
UA-0028	Zhovtneve Air Base
UA-0029	Bolshoy Tokmak Air Base
UA30	Batken Airport
UAAA	Almaty Airport
UAAH	Balkhash Airport
UACC	Astana International Airport
UACK	Kokshetau Airport
UACP	Petropavlosk South Airport
UADD	Taraz Airport
UAFL	Issyk-Kul International Airport
UAFM	Manas International Airport
UAFO	Osh Airport
UAFW	Kant Air Base
UAII	Shymkent Airport
UAKD	Zhezkazgan Airport
UAKK	Sary-Arka Airport
UAON	Yubileyniy Airfield
UARR	Uralsk Airport
UASA	Ayaguz Airport
UASB	Ekibastuz Airport
UASK	Ust-Kamennogorsk Airport
UASP	Pavlodar Airport
UASS	Semipalatinsk Airport
UATE	Aktau Airport
UATG	Atyrau Airport
UATR	Chelkar Airport
UATT	Aktobe Airport
UAUU	Kostanay West Airport
UB12	Nasosnaya Air Base
UB13	Stepanakert Air Base
UB14	Kyurdamir Air Base
UB18	Baku Kala Air Base
UBBB	Heydar Aliyev International Airport
UBBG	Ganja Airport
UBBN	Nakhchivan Airport
UBBQ	Gabala International Airport
UDSG	Gyumri Shirak Airport
UDYE	Erebuni Airport
UDYZ	Zvartnots International Airport
UEEE	Yakutsk Airport
UELL	Chulman Airport
UEMA	Moma Airport
UEMM	Magan Airport
UEMO	Olyokminsk Airport
UEMT	Ust-Nera Airport
UENK	Kyzyl-Syr Airport
UENW	Vilyuisk Airport
UERA	Aykhal Airport
UERL	Lensk Airport
UERP	Polyarny Airport
UERR	Mirny Airport
UERS	Saskylakh Airport
UESG	Belaya Gora Airport
UESK	Srednekolymsk Airport
UESO	Chokurdakh Airport
UESS	Cherskiy Airport
UEST	Tiksi Airport
UESU	Zyryanka Airport
UG0U	Gudauta Air Base
UG11	Dollyar Air Base
UG22	Tbilisi Marneuli Air Base
UG24	Tbilisi Soganlug Air Base
UG27	Vaziani Air Base
UG28	Bolshiye Shiraki Air Base
UGEJ	Dzhermuk Airport
UGKO	Kopitnari Airport
UGSB	Batumi International Airport
UGSS	Sukhumi Dranda Airport
UGTB	Tbilisi International Airport
UHB1	Birofeld Air Base
UHBB	Ignatyevo Airport
UHHH	Khabarovsk-Novy Airport
UHK1	Blagodatnoye Air Base
UHKD	Dzemgi Airport
UHKG	Kamenny Ruchey Naval Air Base
UHKK	Komsomolsk-on-Amur Airport
UHKM	Maygatka Airport.
UHMA	Ugolny Airport
UHMD	Provideniya Bay Airport
UHMF	Omsukchan Airport
UHMG	Chaybukha Airport
UHMK	Keperveem Airport
UHMM	Sokol Airport
UHMP	Pevek Airport
UHMS	Seymchan Airport
UHMT	Magadan-13 Airport
UHMW	Severo-Evensk Airport
UHNN	Nikolayevsk-na-Amure Airport
UHOO	Okhotsk Airport
UHPL	Palana Airport
UHPP	Yelizovo Airport
UHSS	Yuzhno-Sakhalinsk Airport
UHWW	Vladivostok International Airport
UIAA	Chita-Kadala Airport
UIAE	Krasnokamensk Airport
UIBB	Bratsk Airport
UIBV	Zheleznogorsk Airport
UIII	Irkutsk Airport
UITT	Ust-Kut Airport
UIUB	Bagdarin Airport
UIUU	Ulan-Ude Airport (Mukhino)
UKBB	Boryspil International Airport
UKCM	Mariupol International Airport
UKCW	Luhansk International Airport
UKDD	Dnipropetrovsk International Airport
UKDE	Zaporizhzhia International Airport
UKDR	Kryvyi Rih International Airport
UKFB	Belbek Airport
UKFF	Simferopol International Airport
UKFG	Gvardeyskoe Air Base
UKFI	Saki Air Base
UKFY	Dzhankoy Airport
UKHH	Kharkiv International Airport
UKKE	Cherkasy International Airport
UKKK	Kiev Zhuliany International Airport
UKKM	Gostomel Airport
UKKO	Ozerne Air Base
UKLH	Khmelnytskyi Airport
UKLI	Ivano-Frankivsk International Airport
UKLL	Lviv International Airport
UKLN	Chernivtsi International Airport
UKLR	Rivne International Airport
UKLU	Uzhhorod International Airport
UKON	Mykolaiv International Airport
UKOO	Odessa International Airport
ULAA	Talagi Airport
ULAK	Severomorsk-1 Naval Air Base
ULAM	Naryan Mar Airport
ULBC	Cherepovets Airport
ULDD	Amderma Airport
ULH	Majeed Bin Abdulaziz Airport
ULKK	Kotlas Airport
ULLI	Pulkovo Airport
ULLP	Pushkin Airport
ULLS	Siversky Air Base
ULMM	Murmansk Airport
ULNR	Staraya Russa Air Base
ULOL	Velikiye Luki Airport
ULOO	Pskov Airport
ULPB	Petrozavodsk Airport
ULPP	Peski Airport
ULPW	Sortavala Airport
ULWW	Vologda Airport
UMBB	Brest Airport
UMGG	Gomel Airport
UMII	Vitebsk Vostochny Airport
UMKK	Khrabrovo Airport
UMMA	Baranavichi Air Base
UMMG	Hrodna Airport
UMMS	Minsk National Airport
UMNB	Babruisk Air Base
UMOO	Mogilev Airport
UNAA	Abakan Airport
UNBB	Barnaul Airport
UNBG	Gorno-Altaysk Airport
UNCC	Novosibirsk North Airport
UNEE	Kemerovo Airport
UNIB	Baykit Airport
UNII	Yeniseysk Airport
UNIP	Podkamennaya Tunguska Airport
UNIS	Severo-Eniseysk Airport
UNIW	Vanavara Airport
UNKL	Yemelyanovo Airport
UNKM	Cheremshanka Airport
UNKO	Sharypovo Airport
UNKS	Achinsk Airport
UNKY	Kyzyl Airport
UNNE	Yeltsovka Airport
UNNT	Tolmachevo Airport
UNOO	Omsk Central Airport
UNOS	Omsk Severny Airport
UNSS	Strezhevoy Airport
UNTT	Bogashevo Airport
UNWW	Spichenkovo Airport
UODD	Dikson Airport
UODN	Nagurskoye
UOHH	Khatanga Airport
UOIG	Svetlogorsk Airport
UOII	Igarka Airport
UOOO	Norilsk-Alykel Airport
UOOW	Valek Airport
URKA	Anapa Vityazevo Airport
URKE	Yeysk Airport
URKG	Gelendzhik Airport
URKH	Khanskaya Air Base
URKK	Krasnodar Pashkovsky International Airport
URMG	Khankala Air Base
URML	Uytash Airport
URMM	Mineralnyye Vody Airport
URMN	Nalchik Airport
URMO	Beslan Airport
URMS	Magas Airport
URMT	Stavropol Shpakovskoye Airport
UROD	Dudinka Airport
URRP	Platov International Airport
URRT	Taganrog Yuzhny Airport
URSS	Sochi International Airport
URWA	Astrakhan Airport
URWI	Elista Airport
URWW	Volgograd International Airport
US-0086	Jim's Private Airport
US-0254	Yuma Auxiliary AAF #2
US-0303	atl
US-0571	Williston Basin International Airport (U.C.)
US-0742	34S Airport
USCC	Chelyabinsk Balandino Airport
USCM	Magnitogorsk International Airport
USDA	Sabetta International Airport
USDD	Salekhard Airport
USHB	Berezovo Airport
USHH	Khanty Mansiysk Airport
USHN	Nyagan Airport
USHS	Sovetskiy Airport
USHU	Uray Airport
USHY	Beloyarskiy Airport
USII	Izhevsk Airport
USKK	Pobedilovo Airport
USMM	Nadym Airport
USMU	Novy Urengoy Airport
USNN	Nizhnevartovsk Airport
USPP	Bolshoye Savino Airport
USRK	Kogalym International Airport
USRN	Nefteyugansk Airport
USRO	Noyabrsk Airport
USRR	Surgut Airport
USSK	Uktus Airport
USSS	Koltsovo Airport
USTR	Roshchino International Airport
USUU	Kurgan Airport
UTAA	Ashgabat International Airport
UTAK	Turkmenbashi Airport
UTAM	Mary Airport
UTAT	DaÅŸoguz Airport
UTAV	Turkmenabat Airport
UTDD	Dushanbe Airport
UTDK	Kulob Airport
UTDL	Khudzhand Airport
UTDT	Qurghonteppa International Airport
UTNU	Urgench Airport
UTSB	Bukhara Airport
UTSS	Samarkand Airport
UTST	Termez Airport
UTTP	Tashkent East Airport
UTTT	Tashkent International Airport
UUBA	Kostroma Sokerkino Airport
UUBC	Grabtsevo Airport
UUBD	Dyagilevo Air Base
UUBI	Ivanovo South Airport
UUBK	Staroselye Airport
UUBL	Semyazino Airport
UUBM	Myachkovo Airport
UUBP	Bryansk Airport
UUBW	Zhukovsky International Airport
UUDD	Domodedovo International Airport
UUEE	Sheremetyevo International Airport
UUEM	Migalovo Air Base
UUMO	Ostafyevo International Airport
UUMT	Tretyakovo Airport
UUMU	Chkalovskiy Air Base
UUOB	Belgorod International Airport
UUOK	Kursk East Airport
UUOL	Lipetsk Airport
UUOO	Voronezh International Airport
UUOR	Oryol Yuzhny Airport
UUOT	Donskoye Airport
UUWE	Yermolino Air Base
UUWW	Vnukovo International Airport
UUYH	Ukhta Airport
UUYI	Inta Airport
UUYK	Vuktyl Airport
UUYP	Pechora Airport
UUYS	Usinsk Airport
UUYV	Izhma Airport
UUYW	Vorkuta Airport
UUYX	Ust-Tsylma Airport
UUYY	Syktyvkar Airport
UWGG	Nizhny Novgorod Strigino International Airport
UWKB	Bugulma Airport
UWKD	Kazan International Airport
UWKE	Begishevo Airport
UWKG	Borisoglebskoye Airport
UWKJ	Yoshkar-Ola Airport
UWKS	Cheboksary Airport
UWKV	Zhigansk Airport
UWLL	Ulyanovsk Baratayevka Airport
UWLW	Ulyanovsk East Airport
UWOO	Orenburg Central Airport
UWOR	Orsk Airport
UWPP	Penza Airport
UWPS	Saransk Airport
UWSB	Balakovo Airport
UWSS	Saratov Central Airport
UWUM	Maksimovka Airport
UWUU	Ufa International Airport
UWWB	Buguruslan Severny Airport
UWWG	Bezymyanka Airfield
UWWW	Kurumoch International Airport
VA1G	Rewa Airport, Chorhata, REWA
VAAH	Sardar Vallabhbhai Patel International Airport
VAAK	Akola Airport
VAAU	Aurangabad Airport
VABB	Chhatrapati Shivaji International Airport
VABI	Bilaspur Airport
VABJ	Bhuj Airport
VABM	Belgaum Airport
VABO	Vadodara Airport
VABP	Raja Bhoj International Airport
VABV	Bhavnagar Airport
VADN	Daman Airport
VAGO	Dabolim Airport
VAHB	Hubli Airport
VAID	Devi Ahilyabai Holkar Airport
VAJB	Jabalpur Airport
VAJM	Jamnagar Airport
VAKE	Kandla Airport
VAKJ	Khajuraho Airport
VAKP	Kolhapur Airport
VAKS	Keshod Airport
VAND	Nanded Airport
VANP	Dr. Babasaheb Ambedkar International Airport
VAOZ	Nashik Airport
VAPO	Pune Airport
VAPR	Porbandar Airport
VARG	Ratnagiri Airport
VARK	Rajkot Airport
VASD	Shirdi Airport
VASL	Solapur Airport
VASU	Surat Airport
VAUD	Maharana Pratap Airport
VCBI	Bandaranaike International Colombo Airport
VCCA	Anuradhapura Air Force Base
VCCB	Batticaloa Airport
VCCC	Colombo Ratmalana Airport
VCCG	Ampara Airport
VCCH	Hingurakgoda Air Force Base
VCCJ	Kankesanturai Airport
VCCK	Koggala Airport
VCCT	China Bay Airport
VCRI	Mattala Rajapaksa International Airport
VDBG	Battambang Airport
VDKH	Kampong Chhnang Airport
VDPP	Phnom Penh International Airport
VDRK	Ratanakiri Airport
VDSR	Siem Reap International Airport
VDST	Stung Treng Airport
VE44	Hashimara Air Force Station
VEAN	Along Airport
VEAT	Agartala Airport
VEBD	Bagdogra Airport
VEBI	Shillong Airport
VEBS	Biju Patnaik Airport
VECC	Netaji Subhash Chandra Bose International Airport
VEDB	Dhanbad Airport
VEDG	Kazi Nazrul Islam Airport
VEGK	Gorakhpur Airport
VEGT	Lokpriya Gopinath Bordoloi International Airport
VEGY	Gaya Airport
VEIM	Imphal Airport
VEJS	Sonari Airport
VEJT	Jorhat Airport
VEKR	Kailashahar Airport
VEKU	Silchar Airport
VELP	Lengpui Airport
VELR	North Lakhimpur Airport
VEMN	Dibrugarh Airport
VEMR	Dimapur Airport
VEMZ	Muzaffarpur Airport
VEPH	Panagarh Air Force Station
VEPT	Lok Nayak Jayaprakash Airport
VERC	Birsa Munda Airport
VERK	Rourkela Airport
VETZ	Tezpur Airport
VEZO	Ziro Airport
VGBR	Barisal Airport
VGCB	Cox's Bazar Airport
VGEG	Shah Amanat International Airport
VGIS	Ishurdi Airport
VGJR	Jessore Airport
VGRJ	Shah Mokhdum Airport
VGSD	Saidpur Airport
VGSY	Osmany International Airport
VGZR	Hazrat Shahjalal International Airport
VHHH	Hong Kong International Airport
VHSK	Shek Kong Air Base
VIAG	Agra Airport
VIAL	Allahabad Airport
VIAM	Ambala Air Force Station
VIAR	Sri Guru Ram Dass Jee International Airport
VIBK	Nal Airport
VIBN	Lal Bahadur Shastri Airport
VIBR	Kullu Manali Airport
VIBT	Bhatinda Air Force Station
VIBY	Bareilly Air Force Station
VICG	Chandigarh Airport
VICX	Kanpur Airport
VIDD	Safdarjung Airport
VIDN	Dehradun Airport
VIDP	Indira Gandhi International Airport
VIGG	Kangra Airport
VIGR	Gwalior Airport
VIHR	Hissar Airport
VIJO	Jodhpur Airport
VIJP	Jaipur International Airport
VIJR	Jaisalmer Airport
VIJU	Jammu Airport
VIKG	Kishangarh Airport
VIKO	Kota Airport
VILD	Ludhiana Airport
VILH	Leh Kushok Bakula Rimpochee Airport
VILK	Chaudhary Charan Singh International Airport
VIPK	Pathankot Airport
VIPT	Pantnagar Airport
VISA	Sirsa Air Force Station
VISR	Sheikh ul Alam Airport
VIUX	Udhampur Air Force Station
VLLB	Luang Phabang International Airport
VLPS	Pakse International Airport
VLSK	Savannakhet Airport
VLSN	Sam Neua Airport
VLVT	Wattay International Airport
VMMC	Macau International Airport
VN-0001	Dong Hoi Airport
VN-KON	Kontum Airport
VNBW	Gautam Buddha Airport
VNJP	Janakpur Airport
VNKT	Tribhuvan International Airport
VNNG	Nepalgunj Airport
VNPK	Pokhara Airport
VNTJ	Taplejung Airport
VNVT	Biratnagar Airport
VO55	Murod Kond Airport
VOAT	Agatti Airport
VOBG	HAL Airport
VOBI	Bellary Airport
VOBL	Kempegowda International Airport
VOBR	Bidar Air Force Station
VOBZ	Vijayawada Airport
VOCB	Coimbatore International Airport
VOCI	Cochin International Airport
VOCL	Calicut International Airport
VOCP	Kadapa Airport
VOCX	Car Nicobar Air Force Station
VODG	Dundigul Air Force Academy
VOHS	Rajiv Gandhi International Airport
VOHY	Begumpet Airport
VOKN	Kannur International Airport
VOMD	Madurai Airport
VOML	Mangalore International Airport
VOMM	Chennai International Airport
VOPB	Vir Savarkar International Airport
VOPC	Pondicherry Airport
VOPN	Sri Sathya Sai Airport
VORY	Rajahmundry Airport
VOSM	Salem Airport
VOTR	Tiruchirapally Civil Airport Airport
VOTV	Trivandrum International Airport
VQGP	Gelephu Airport
VQPR	Paro Airport
VRMG	Gan International Airport
VRMH	Hanimaadhoo Airport
VRMK	Kadhdhoo Airport
VRMM	MalÃ© International Airport
VRMT	Kaadedhdhoo Airport
VRMV	Villa Airport
VTBD	Don Mueang International Airport
VTBK	Kamphaeng Saen Airport
VTBL	Khok Kathiam Airport
VTBO	Trat Airport
VTBS	Suvarnabhumi Airport
VTBU	U-Tapao International Airport
VTCC	Chiang Mai International Airport
VTCH	Mae Hong Son Airport
VTCL	Lampang Airport
VTCN	Nan Airport
VTCP	Phrae Airport
VTCT	Chiang Rai International Airport
VTPB	Phetchabun Airport
VTPH	Hua Hin Airport
VTPI	Takhli Airport
VTPM	Mae Sot Airport
VTPO	Sukhothai Airport
VTPP	Phitsanulok Airport
VTPT	Tak Airport
VTSB	Surat Thani Airport
VTSC	Narathiwat Airport
VTSE	Chumphon Airport
VTSF	Nakhon Si Thammarat Airport
VTSG	Krabi Airport
VTSH	Songkhla Airport
VTSK	Pattani Airport
VTSM	Samui Airport
VTSN	Cha Eian Airport
VTSP	Phuket International Airport
VTSR	Ranong Airport
VTSS	Hat Yai International Airport
VTST	Trang Airport
VTUD	Udon Thani Airport
VTUI	Sakon Nakhon Airport
VTUJ	Surin Airport
VTUK	Khon Kaen Airport
VTUL	Loei Airport
VTUO	Buri Ram Airport
VTUQ	Nakhon Ratchasima Airport
VTUU	Ubon Ratchathani Airport
VTUV	Roi Et Airport
VTUW	Nakhon Phanom Airport
VVBM	Buon Ma Thuot Airport
VVCI	Cat Bi International Airport
VVCM	CÃ  Mau Airport
VVCR	Cam Ranh Airport
VVCS	Co Ong Airport
VVCT	Can Tho International Airport
VVDB	Dien Bien Phu Airport
VVDL	Lien Khuong Airport
VVDN	Da Nang International Airport
VVGL	Gia Lam Air Base
VVNB	Noi Bai International Airport
VVPB	Phu Bai Airport
VVPC	Phu Cat Airport
VVPK	Pleiku Airport
VVPQ	Phu Quoc International Airport
VVRG	Rach Gia Airport
VVTH	Dong Tac Airport
VVTS	Tan Son Nhat International Airport
VVVH	Vinh Airport
VYDW	Dawei Airport
VYEL	Naypyidaw Airport
VYHH	Heho Airport
VYKG	Kengtung Airport
VYKP	Kyaukpyu Airport
VYKT	Kawthoung Airport
VYLK	Loikaw Airport
VYLS	Lashio Airport
VYMD	Mandalay International Airport
VYME	Myeik Airport
VYMK	Myitkyina Airport
VYML	Meiktila Air Base
VYMO	Momeik Airport
VYMS	Mong Hsat Airport
VYNP	Nampong Air Base
VYNS	Namsang Airport
VYPT	Putao Airport
VYST	Shante Air Base
VYSW	Sittwe Airport
VYTD	Thandwe Airport
VYTL	Tachileik Airport
VYYY	Yangon International Airport
WAAA	Hasanuddin International Airport
WABB	Frans Kaisiepo Airport
WABI	Nabire Airport
WABP	Moses Kilangin Airport
WADD	Ngurah Rai (Bali) International Airport
WADL	Lombok International Airport
WAJJ	Sentani International Airport
WAJW	Wamena Airport
WAKK	Mopah Airport
WALK	Kalimarau Airport
WALR	Juwata Airport
WALS	Temindung Airport
WAMH	Naha Airport
WAML	Mutiara Airport
WAMM	Sam Ratulangi Airport
WAMP	Kasiguncu Airport
WAMR	Pitu Airport
WAMT	Sultan Khairun Babullah Airport
WAMW	Syukuran Aminuddin Amir Airport
WAON	Warukin Airport
WAPL	Dumatumbun Airport
WAPP	Pattimura Airport, Ambon
WARR	Juanda International Airport
WASF	Fakfak Airport
WASK	Kaimana Airport
WASO	Babo Airport
WASR	Rendani Airport
WAXX	Dominique Edward Osok Airport
WBGB	Bintulu Airport
WBGG	Kuching International Airport
WBGJ	Limbang Airport
WBGM	Marudi Airport
WBGR	Miri Airport
WBGS	Sibu Airport
WBGZ	Bario Airport
WBKD	Lahad Datu Airport
WBKK	Kota Kinabalu International Airport
WBKL	Labuan Airport
WBKS	Sandakan Airport
WBKW	Tawau Airport
WBMU	Mulu Airport
WBSB	Brunei International Airport
WIAT	Radin Inten II (Branti) Airport
WIBB	Sultan Syarif Kasim Ii (Simpang Tiga) Airport
WIBD	Pinang Kampai Airport
WICC	Husein Sastranegara International Airport
WIDD	Hang Nadim International Airport
WIHH	Halim Perdanakusuma International Airport
WIHL	Tunggul Wulung Airport
WIII	Soekarno-Hatta International Airport
WIMB	Binaka Airport
WIME	Aek Godang Airport
WIMG	Tabing Airport
WIMK	Soewondo Air Force Base
WIMM	Kualanamu International Airport
WIOG	Nanga Pinoh Airport
WIOK	Ketapang(Rahadi Usman) Airport
WION	Ranai Airport
WIOO	Supadio Airport
WIOP	Pangsuma Airport
WIOS	Sintang(Susilo) Airport
WIPL	Fatmawati Soekarno Airport
WIPP	Sultan Mahmud Badaruddin II Airport
WIPQ	Pendopo Airport
WIPR	Japura Airport
WIPT	Minangkabau International Airport
WITL	Lhok Sukon Airport
WITT	Sultan Iskandar Muda International Airport
WMAP	Kluang Airport
WMBT	Pulau Tioman Airport
WMKA	Sultan Abdul Halim Airport
WMKB	Butterworth Airport
WMKC	Sultan Ismail Petra Airport
WMKD	Kuantan Airport
WMKE	Kerteh Airport
WMKI	Sultan Azlan Shah Airport
WMKJ	Senai International Airport
WMKK	Kuala Lumpur International Airport
WMKL	Langkawi International Airport
WMKM	Malacca Airport
WMKN	Sultan Mahmud Airport
WMKP	Penang International Airport
WMSA	Sultan Abdul Aziz Shah International Airport
WPDB	Suai Airport
WPDL	Presidente Nicolau Lobato International Airport
WPEC	Cakung Airport
WSAC	Changi Air Base (East)
WSAG	Sembawang Air Base
WSAP	Paya Lebar Air Base
WSAT	Tengah Air Base
WSSL	Seletar Airport
WSSS	Singapore Changi Airport
XK-0001	KFOR Base Airfield
XLLL	Soltsy-2 Air Base
XLMV	Severomorsk-3 Naval Air Base
XLWF	Fedotovo Naval Air Base
XRWL	Lebyazhye Air Base
XUBS	Smolensk North Airport
XWPR	Rtishchevo Air Base
YABA	Albany Airport
YAMB	RAAF Base Amberley
YAPH	Alpha Airport
YARA	Ararat Airport
YARM	Armidale Airport
YAYE	Ayers Rock Connellan Airport
YBAR	Barcaldine Airport
YBAS	Alice Springs Airport
YBBN	Brisbane International Airport
YBCG	Gold Coast Airport
YBCK	Blackall Airport
YBCS	Cairns International Airport
YBCV	Charleville Airport
YBDV	Birdsville Airport
YBHI	Broken Hill Airport
YBHM	Hamilton Island Airport
YBIE	Bedourie Airport
YBKE	Bourke Airport
YBLA	Benalla Airport
YBMA	Mount Isa Airport
YBMC	Sunshine Coast Airport
YBMK	Mackay Airport
YBNA	Ballina Byron Gateway Airport
YBNS	Bairnsdale Airport
YBOK	Oakey Airport
YBOU	Boulia Airport
YBPN	Proserpine Whitsunday Coast Airport
YBRK	Rockhampton Airport
YBRM	Broome International Airport
YBRN	Balranald Airport
YBRW	Brewarrina Airport
YBTH	Bathurst Airport
YBTI	Bathurst Island Airport
YBTL	Townsville Airport
YBTR	Blackwater Airport
YBUD	Bundaberg Airport
YBWP	Weipa Airport
YBWW	Toowoomba Wellcamp Airport
YCAR	Carnarvon Airport
YCBA	Cobar Airport
YCBB	Coonabarabran Airport
YCBP	Coober Pedy Airport
YCCA	Chinchilla Airport
YCCY	Cloncurry Airport
YCDU	Ceduna Airport
YCEE	Cleve Airport
YCIN	RAAF Base Curtin
YCKN	Cooktown Airport
YCMT	Clermont Airport
YCMU	Cunnamulla Airport
YCNM	Coonamble Airport
YCOE	Coen Airport
YCOM	Cooma Snowy Mountains Airport
YCOR	Corowa Airport
YCRG	Corryong Airport
YCTM	Cootamundra Airport
YCWR	Cowra Airport
YDBI	Dirranbandi Airport
YDBY	Derby Airport
YDLQ	Deniliquin Airport
YDPO	Devonport Airport
YDYS	Dysart Airport
YECH	Echuca Airport
YELD	Elcho Island Airport
YEML	Emerald Airport
YESP	Esperance Airport
YFBS	Forbes Airport
YFRT	Forrest Airport
YFTZ	Fitzroy Crossing Airport
YGDH	Gunnedah Airport
YGEL	Geraldton Airport
YGFN	Grafton Airport
YGLA	Gladstone Airport
YGLB	Goulburn Airport
YGLI	Glen Innes Airport
YGPT	Garden Point Airport
YGTE	Groote Eylandt Airport
YGTH	Griffith Airport
YHAY	Hay Airport
YHBA	Hervey Bay Airport
YHID	Horn Island Airport
YHLC	Halls Creek Airport
YHML	Hamilton Airport
YHOT	Mount Hotham Airport
YHPN	Hopetoun Airport
YHSM	Horsham Airport
YIVL	Inverell Airport
YKER	Kerang Airport
YKII	King Island Airport
YKMP	Kempsey Airport
YKOW	Kowanyama Airport
YKRY	Kingaroy Airport
YKSC	Kingscote Airport
YLEC	Leigh Creek Airport
YLEO	Leonora Airport
YLHR	Lockhart River Airport
YLIS	Lismore Airport
YLRD	Lightning Ridge Airport
YLRE	Longreach Airport
YLST	Leinster Airport
YLTV	Latrobe Valley Airport
YMAV	Avalon Airport
YMAY	Albury Airport
YMBA	Mareeba Airport
YMDG	Mudgee Airport
YMEK	Meekatharra Airport
YMEN	Melbourne Essendon Airport
YMER	Merimbula Airport
YMES	RAAF Base East Sale
YMGD	Maningrida Airport
YMHB	Hobart International Airport
YMIA	Mildura Airport
YMLT	Launceston Airport
YMMB	Melbourne Moorabbin Airport
YMML	Melbourne International Airport
YMNE	Mount Keith Airport
YMOG	Mount Magnet Airport
YMOR	Moree Airport
YMRB	Moranbah Airport
YMRY	Moruya Airport
YMTG	Mount Gambier Airport
YNAR	Narrandera Airport
YNBR	Narrabri Airport
YNGU	Ngukurr Airport
YNRM	Narromine Airport
YNTN	Normanton Airport
YNWN	Newman Airport
YORG	Orange Airport
YPAD	Adelaide International Airport
YPAG	Port Augusta Airport
YPBO	Paraburdoo Airport
YPCC	Cocos (Keeling) Islands Airport
YPDN	Darwin International Airport
YPEA	RAAF Base Pearce
YPED	RAAF Base Edinburgh
YPGV	Gove Airport
YPIR	Port Pirie Airport
YPJT	Perth Jandakot Airport
YPKA	Karratha Airport
YPKG	Kalgoorlie Boulder Airport
YPKS	Parkes Airport
YPKT	Port Keats Airport
YPKU	Kununurra Airport
YPLC	Port Lincoln Airport
YPLM	Learmonth Airport
YPMQ	Port Macquarie Airport
YPOD	Portland Airport
YPPD	Port Hedland International Airport
YPPH	Perth International Airport
YPTN	Tindal Airport
YPXM	Christmas Island Airport
YQLP	Quilpie Airport
YREN	Renmark Airport
YROM	Roma Airport
YSBK	Sydney Bankstown Airport
YSCB	Canberra International Airport
YSCH	Coffs Harbour Airport
YSCN	Camden Airport
YSDU	Dubbo City Regional Airport
YSHK	Shark Bay Airport
YSHT	Shepparton Airport
YSMI	Smithton Airport
YSNB	Snake Bay Airport
YSNF	Norfolk Island International Airport
YSNW	Nowra Airport
YSRI	RAAF Base Richmond
YSSY	Sydney Kingsford Smith International Airport
YSTW	Tamworth Airport
YSWG	Wagga Wagga City Airport
YSWH	Swan Hill Airport
YSWL	Stawell Airport
