5A8	Aleknagik / New Airport
EFTU	Turku Airport
EFUT	Utti Air Base
EFVA	Vaasa Airport
EFVR	Varkaus Airport
EFYL	Ylivieska Airfield
EG-0003	Bilbeis 2 Airfield
EGAA	Belfast International Airport
EGAB	St Angelo Airport
EGAC	George Best Belfast City Airport
EGAE	City of Derry Airport
EGBB	Birmingham International Airport
EGBE	Coventry Airport
EGBJ	Gloucestershire Airport
EGBN	Nottingham Airport
EGCC	Manchester Airport
EGCN	Robin Hood Doncaster Sheffield Airport
EGDC	Royal Marines Base Chivenor Airport
EGDM	MoD Boscombe Down Airport
EGDR	RNAS Culdrose
EGDX	MoD St. Athan
EGDY	RNAS Yeovilton
EGEC	Campbeltown Airport
EGED	Eday Airport
EGEF	Fair Isle Airport
EGFE	Haverfordwest Airport
EGFF	Cardiff International Airport
EGFH	Swansea Airport
EGGD	Bristol Airport
EGGP	Liverpool John Lennon Airport
EGGW	London Luton Airport
EGHC	Land's End Airport
EGHE	St. Mary's Airport
EGHH	Bournemouth Airport
EGHI	Southampton Airport
EGHL	Lasham Airport
EGHQ	Newquay Cornwall Airport
EGJA	Alderney Airport
EGJB	Guernsey Airport
EGJJ	Jersey Airport
EGKA	Shoreham Airport
EGKB	London Biggin Hill Airport
EGKK	London Gatwick Airport
EGLC	London City Airport
EGLF	Farnborough Airport
EGLK	Blackbushe Airport
EGLL	London Heathrow Airport
EGMC	Southend Airport
EGMD	Lydd Airport
EGNC	Carlisle Airport
EGNH	Blackpool International Airport
EGNJ	Humberside Airport
EGNL	Barrow Walney Island Airport
EGNM	Leeds Bradford Airport
EGNO	Warton Airport
EGNR	Hawarden Airport
EGNS	Isle of Man Airport
EGNT	Newcastle Airport
EGNV	Durham Tees Valley Airport
EGNX	East Midlands Airport
EGOM	RAF Spadeadam
EGOS	RAF Shawbury
EGOV	Anglesey Airport
EGPA	Kirkwall Airport
EGPB	Sumburgh Airport
EGPC	Wick Airport
EGPD	Aberdeen Dyce Airport
EGPE	Inverness Airport
EGPF	Glasgow International Airport
EGPH	Edinburgh Airport
EGPI	Islay Airport
EGPK	Glasgow Prestwick Airport
EGPL	Benbecula Airport
EGPM	Scatsta Airport
EGPN	Dundee Airport
EGPO	Stornoway Airport
EGPR	Barra Airport
EGPU	Tiree Airport
EGQK	RAF Kinloss
EGQL	RAF Leuchars
EGQS	RAF Lossiemouth
EGSC	Cambridge Airport
EGSH	Norwich International Airport
EGSS	London Stansted Airport
EGTC	Cranfield Airport
EGTE	Exeter International Airport
EGTK	Oxford (Kidlington) Airport
EGUB	RAF Benson
EGUL	RAF Lakenheath
EGUN	RAF Mildenhall
EGUW	Wattisham Airfield
EGUY	RAF Wyton
EGVA	RAF Fairford
